,timestamp,sender,messages,sentiment_per_chat,sentiment_per_sesi,session_index,file_index,preprocessed
0,13/10/2020,mahasiswa,"Assalamualaikum wr.wb, Selamat Pagi pak [DOSEN]. Maaf mengganggu waktunya🙏🏻 Saya [MHS], dari Teknik Informatika 2017. Saya juga sebagai mahasiswa bimbingan skripsi Bapak untuk pembimbing kedua nya pak. Saya ingin bertanya untuk jadwal P0, apakah untuk P0 nya dilakukan bersama antara Dosen Pembimbing 1 dan 2, atau kah bisa terpisah setiap dosen pak? Lalu untuk waktu P0 nya kapan ya pak? Terima kasih pak, maaf mengganggu🙏🏻",1,1,0,6,"['assalamualaikum', 'wr', 'wb', 'selamat', 'pagi', 'dosen', 'maaf', 'ganggu', 'mahasiswa', 'teknik', 'informatika', '2017', 'mahasiswa', 'bimbing', 'skripsi', 'bimbing', 'nya', 'jadwal', 'p0', 'p0', 'nya', 'laku', 'dosen', 'bimbing', '1', '2', 'kah', 'pisah', 'dosen', 'p0', 'nya', 'iya', 'terima', 'kasih', 'maaf', 'ganggu']"
1,13/10/2020,dosen,"Baik , utk P0/P1/P2 saya lebih prefer mandiri atau prive ke msg"" dosbing. utk P0 Cukup kirimkan ke email saya berikut; 1. dok. bab 1 - 3 2. PPT P0 3. Link share publik Video Presentasi P0 4. Isikan 1 logbook utk saya (tgl hari ini) ttg ""Konsultasi Persiapan P0"" Terimakasih.",1,1,0,6,"['p0', 'p1', 'p2', 'prefer', 'mandiri', 'prive', 'dosen pembimbing', 'p0', 'kirim', 'email', '1', 'dokumen', 'bab', '1', '-', '3', '2', 'power point', 'p0', '3', 'link', 'publik', 'video', 'presentasi', 'p0', '4', 'isi', '1', 'logbook', 'tanggal', 'konsultasi', 'p0', 'terima kasih']"
2,13/10/2020,mahasiswa,Iya baik pak [DOSEN] akan saya isi logbook untuk konsultasi hari ini. Selanjutnya untuk P0 akan saya kirim melalui email. Terima kasih banyak Pak🙏🏻,1,1,0,6,"['iya', 'dosen', 'isi', 'logbook', 'konsultasi', 'p0', 'kirim', 'email', 'terima', 'kasih']"
3,20/10/2020,mahasiswa,"Assalamualaikum wr.wb, Selamat pagi Pak [DOSEN], mohon maaf menggangu waktunya. Saya [MHS] sebagai mahasiswa bimbingan Bapak untuk pembimbing 2 nya Pak. Saya ingin menyampaikan bahwa saya telah mengirimkan file presentasi P0 saya ke email Bapak. Terima kasih banyak Pak🙏🏻",1,1,1,6,"['assalamualaikum', 'wr', 'wb', 'selamat', 'pagi', 'dosen', 'mohon', 'maaf', 'menggangu', 'mahasiswa', 'mahasiswa', 'bimbing', 'bimbing', '2', 'nya', 'kirim', 'dokumen', 'presentasi', 'p0', 'email', 'terima', 'kasih']"
4,20/10/2020,dosen,"Baik [MHS], noted. Tunggu review dari saya. 🙏🙏",1,1,1,6,"['mahasiswa', 'dicatat', 'tunggu', 'ulas']"
5,20/10/2020,mahasiswa,"Baik Pak [DOSEN], terima kasih Pak🙏🏻",1,1,1,6,"['dosen', 'terima', 'kasih']"
6,02/12/2020,mahasiswa,"Selamat pagi Pak , mohon maaf mengganggu waktunya. Saya (2017) sebagai salah satu mahasiswa bimbingan Bapak untuk pembimbing 2 nya Pak. Saya ingin bertanya mengenai kesediaan waktu Bapak untuk saya bisa melakukan presentasi P1 dan apakah prosedur presentasi P1 sama dengan presentasi P0 sebelumnya atau kah prosedur nya lain Pak? Terima kasih banyak Pak 🙏🏻",1,1,2,6,"['selamat', 'pagi', 'mohon', 'maaf', 'ganggu', '2017', 'salah', 'mahasiswa', 'bimbing', 'bimbing', '2', 'nya', 'kena', 'sedia', 'laku', 'presentasi', 'p1', 'prosedur', 'presentasi', 'p1', 'presentasi', 'p0', 'kah', 'prosedur', 'nya', 'terima', 'kasih']"
7,02/12/2020,dosen,"Baik [MHS], sambil menunggu review dari saya tolong lanjutkan membuat berikut utk Persiapan P1: + buat draft Dok. bab 1-4 atau sampai bab 5 + File Excel utk membuat manualisasi di file excel dengan menggunakan sebagian kecil data yg ada lalu pindahkan ke dok. skripsi, dan cicil koding yg hasil running-nya sama dgn hasil penghitungan manual + buat ppt P1 yang berisi bab 1 - 4. + Tolong lampiran beberapa screenshot hasil running kode program yang hasilnya sama dengan penghitungan manual Anda, di mana 1 screenshot-nya ada 2 bagian, bagian kiri hasil koding, bagian kanan hasil manualisasi di dokumen, tandai dengan shape tertentu pada nilai yg sama + PPT P1 (berisi bab 1-4) + Video Presentasi PPT P1 Dan pastikan sudah mengisikan log book minimal 3 utk masing"" dosbing, ambilkan dari tgl konsultasi di email/WA dengan uraian log book dari hal"" yg ditanyakan. 🙏",1,1,2,6,"['mahasiswa', 'tunggu', 'ulas', 'tolong', 'p1', 'draft', 'dokumen', 'bab', '1-4', 'bab', '5', 'dokumen', 'excel', 'manual', 'dokumen', 'excel', 'data', 'pindah', 'dokumen', 'skripsi', 'cicil', 'koding', 'hasil', 'running-nya', 'hasil', 'hitung', 'manual', 'power point', 'p1', 'isi', 'bab', '1', '-', '4', 'tolong', 'lampir', 'screenshot', 'hasil', 'running', 'kode', 'program', 'hasil', 'hitung', 'manual', '1', 'screenshot-nya', '2', 'kiri', 'hasil', 'koding', 'kanan', 'hasil', 'manual', 'dokumen', 'tanda', 'shape', 'nilai', 'power point', 'p1', 'isi', 'bab', '1-4', 'video', 'presentasi', 'power point', 'p1', 'isi', 'log', 'book', 'minimal', '3', 'dosen pembimbing', 'ambil', 'tanggal', 'konsultasi', 'email', 'wa', 'urai', 'log', 'book']"
8,02/12/2020,mahasiswa,"Baik Pak [DOSEN], terimakasih. Akan saya persiapkan semua untuk P1 nya🙏🏻 Terkait screenshot hasil koding, apakah diperbolehkan jika masih tidak lengkap sampai pada tahap akhir? Dikarenakan kode program yang saya buat masih kurang 1 tahap terakhir yaitu proses klasifikasi naive bayes nya Pak.",1,1,2,6,"['dosen', 'terima kasih', 'p1', 'nya', 'kait', 'screenshot', 'hasil', 'koding', 'lengkap', 'tahap', 'kode', 'program', '1', 'tahap', 'proses', 'klasifikasi', 'naive', 'bayes', 'nya']"
9,02/12/2020,dosen,"Baik, saya ijinkan.",1,1,2,6,['ijinkan']
10,14/12/2020,mahasiswa,"Assalamualaikum wr.wb, Selamat siang Pak , mohon maaf menggangu waktunya. Saya  sebagai mahasiswa bimbingan Bapak untuk pembimbing 2 nya Pak. Saya ingin menyampaikan bahwa saya telah mengirimkan file presentasi P1 saya beserta file manualisasi, file ppt presentasi, file screenshoot koding dan file dokumen skripsi bab 1-4 ke email Bapak. Terima kasih banyak Pak🙏🏻",1,-1,3,6,"['assalamualaikum', 'wr', 'wb', 'selamat', 'siang', 'mohon', 'maaf', 'menggangu', 'mahasiswa', 'bimbing', 'bimbing', '2', 'nya', 'kirim', 'dokumen', 'presentasi', 'p1', 'dokumen', 'manual', 'dokumen', 'power point', 'presentasi', 'dokumen', 'screenshoot', 'koding', 'dokumen', 'dokumen', 'skripsi', 'bab', '1-4', 'email', 'terima', 'kasih']"
11,14/12/2020,dosen,"Wa'alaikumsalam wr wb. Baik , tunggu review dari saya. 🙏",1,-1,3,6,"['wa', 'alaikumsalam', 'wr', 'wb', 'tunggu', 'ulas']"
12,14/12/2020,mahasiswa,"Baik Pak, maaf sebelumnya saya menambahkan logbook di filkomapps untuk tanggal 2 Desember sebagai ""persiapan konsultasi P1"" Pak, sesuai tanggal saat saya menghubungi Bapak mengenai syarat untuk P1, apakah diperbolehkan Pak?",1,-1,3,6,"['maaf', 'logbook', 'filkomapps', 'tanggal', '2', 'desember', 'konsultasi', 'p1', 'sesuai', 'tanggal', 'hubung', 'kena', 'syarat', 'p1']"
13,15/12/2020,dosen,"Baik [MHS], saya ijinkan. 🙏",1,-1,4,6,"['mahasiswa', 'ijinkan']"
14,22/12/2020,mahasiswa,"Assalamualaikum wr.wb, Selamat siang Pak [DOSEN], mohon maaf menggangu waktunya. Saya [MHS] sebagai mahasiswa bimbingan Bapak untuk pembimbing 2 nya Pak. Saya ingin menyampaikan progress pengerjaan skripsi saya saat ini sampai pada proses masuk ke Bab 6. Saya mau bertanya terkait pelaksanaan P2 nya. Apakah masih sempat jika dilakukan dalam semester ini Pak? Atau kah saya harus melanjutkan untuk P2 ke semester depan ya Pak? Terima kasih Pak 🙏🏻",1,-1,5,6,"['assalamualaikum', 'wr', 'wb', 'selamat', 'siang', 'dosen', 'mohon', 'maaf', 'menggangu', 'mahasiswa', 'mahasiswa', 'bimbing', 'bimbing', '2', 'nya', 'progres', 'kerja', 'skripsi', 'proses', 'masuk', 'bab', '6', 'kait', 'laksana', 'p2', 'nya', 'laku', 'semester', 'kah', 'p2', 'semester', 'iya', 'terima', 'kasih']"
15,23/12/2020,dosen,"Baik [MHS], tolong kirimkan progress bab 6 Anda, minimal 1 skenario pengujian + analisis hasil pengujian tersebut sudah selesai dikerjakan. Jika memang bisa selesai, bisa dilanjutkan ke semester depannya.",1,-1,6,6,"['mahasiswa', 'tolong', 'kirim', 'progres', 'bab', '6', 'minimal', '1', 'skenario', 'uji', 'analisis', 'hasil', 'uji', 'selesai', 'kerja', 'selesai', 'semester']"
16,29/12/2020,mahasiswa,"Assalamualaikum wr.wb, Selamat pagi Pak [DOSEN], mohon maaf menggangu waktunya. Saya telah mengirimkan progress dokumen skripsi saya hingga bab 6 untuk P2 ke email Bapak. Maaf sebelumnya baru saya kirimkan hari ini dikarenakan minggu kemaren terpotong hari libur🙏🏻. Terima kasih Pak .",1,1,7,6,"['assalamualaikum', 'wr', 'wb', 'selamat', 'pagi', 'dosen', 'mohon', 'maaf', 'menggangu', 'kirim', 'progres', 'dokumen', 'skripsi', 'bab', '6', 'p2', 'email', 'maaf', 'kirim', 'minggu', 'kemarin', 'potong', 'libur', 'terima', 'kasih']"
17,29/12/2020,dosen,"Wa'alaikumsalam Wr. Wb. Baik, mohon ditunggu review dari saya.",1,1,7,6,"['wa', 'alaikumsalam', 'wr', 'wb', 'mohon', 'tunggu', 'ulas']"
18,29/12/2020,mahasiswa,"Baik, terima kasih Pak 🙏🏻",1,1,7,6,"['terima', 'kasih']"
